targetSide, oriIncrement, correct
-1,20.000,-1
-1,50.238,-1
-1,126.191,-1
-1,316.979,-1
1,796.214,-1
-1,2000.000,-1
-1,5023.773,-1
1,12619.147,-1
1,31697.864,-1
1,79621.434,-1
1,200000.000,-1
1,502377.286,-1
-1,1261914.689,-1
-1,3169786.385,-1
-1,7962143.411,-1
1,20000000.000,-1
1,50237728.630,-1
-1,126191468.896,-1
1,316978638.492,-1
1,796214341.107,-1
1,2000000000.000,-1
-1,5023772863.019,-1
-1,12619146889.604,-1
1,31697863849.222,-1
-1,79621434110.699,-1
-1,200000000000.000,-1
1,502377286301.916,-1
1,1261914688960.387,-1
1,3169786384922.228,-1
1,7962143411069.947,-1
-1,20000000000000.004,-1
1,50237728630191.609,-1
-1,126191468896038.672,-1
1,316978638492222.750,-1
1,796214341106994.625,-1
-1,2000000000000000.250,-1
1,5023772863019161.000,-1
1,12619146889603868.000,-1
1,31697863849222276.000,-1
1,79621434110699472.000,-1
1,200000000000000064.000,-1
-1,502377286301916160.000,-1
